from,to,length,oneway,name
276676,2507563556,83.60794932208223,False,набережная Зимней канавки
276676,2144310379,259.7804547743849,False,"['1-й Зимний мост', 'Миллионная улица']"
306604,3670330436,180.8685645577086,True,"['Двинский переулок', 'Тучков переулок']"
306607,13296209264,51.98458625250321,True,Волховский переулок
306874,3382584903,284.13042320738856,False,улица Шевченко
306880,9897598188,220.66042154471583,False,Гаванская улица
306895,2878859363,139.9541500356619,False,Прибалтийская площадь
306895,3283938200,19.907994245675155,False,Прибалтийская площадь
306919,327074,153.58356697053944,False,Шкиперский проток
306919,10972323101,145.1948032357324,False,улица Шевченко
306919,3382584901,457.8174315527668,False,улица Шевченко
306919,327078,187.1389622869038,False,Шкиперский проток
306923,327078,35.25746696623434,False,Карташихина улица
306923,10972323105,175.3723870661352,False,Карташихина улица
306924,306925,48.802123331515745,False,Гаванская улица
306924,306923,90.21055324701996,True,Шкиперский проток
306924,1892341868,201.2862537745628,False,Гаванская улица
306925,306924,48.802123331515745,False,Гаванская улица
306925,9897598178,439.23564341960207,False,Гаванская улица
306925,327099,93.19460063190016,True,Шкиперский проток
306927,5002158426,308.9395769322698,False,Парусная улица
306927,393558448,225.84613619903791,True,Галерный проезд
306927,21634023,299.915010923751,True,Галерный проезд
306930,3283938200,719.0326370500705,False,улица Кораблестроителей
306930,320325,188.07623905783674,False,
306930,10103701703,56.561986676650726,False,
306934,7908814740,142.5871325424215,False,"['Шкиперский проток', 'Шкиперский мост']"
306934,306960,430.3024680472837,False,Шкиперский проток
306934,393558448,329.5151575479075,False,Галерный проезд
306960,3383747731,19.850408443652725,False,Шкиперский проток
306960,306934,430.30246804728375,False,Шкиперский проток
306960,306967,70.12520948380028,True,Наличная улица
306967,306968,30.854393644172365,True,Шкиперский проток
306967,1529898791,71.40636607018507,True,Наличная улица
306968,2014678500,96.14810400367783,True,Шкиперский проток
306968,3383747731,66.0716190257201,True,Наличная улица
307001,3723904171,242.25982580874992,False,26-27-я линии В.О.
307001,26056286,150.64642599583686,False,площадь Собчака
307001,13416353250,139.20644974450346,False,площадь Собчака
307010,307054,416.6348452813279,False,Косая линия
307010,3723904169,244.59478340313626,False,26-27-я линии В.О.
307010,307012,284.90025372527987,False,Косая линия
307010,13473111753,745.3471577698177,False,"['26-27-я линии В.О.', 'Кожевенная линия']"
307012,3723904186,143.4013464067333,False,Косая линия
307012,1994324818,458.72499696996357,False,24-25-я линии В.О.
307012,307010,284.90025372527987,False,Косая линия
307052,18476750,133.95641193993828,False,Кожевенная линия
307052,307055,824.5845182418859,False,Кожевенная линия
307052,307054,476.9585381819646,False,Косая линия
307054,10141224950,164.8148203315587,True,Детская улица
307054,307010,416.63484528132784,False,Косая линия
307054,307052,476.9585381819646,False,Косая линия
307055,307052,824.5845182418858,False,Кожевенная линия
307055,3723902424,111.98242035765972,False,площадь Морской Славы
307055,3723904129,39.64201681220808,False,Кожевенная линия
307084,1994324818,65.1322688212885,True,Масляный канал
307087,254994630,112.74404993526349,False,набережная Лейтенанта Шмидта
307087,10209868771,53.21252284952493,True,22-я линии В.О.
307090,3382178334,10.373851453204038,False,20-21-я линии В.О.
307090,254994630,71.23608176856996,True,набережная Лейтенанта Шмидта
307111,1598674181,34.46461451614328,False,"['Фонарный переулок', 'Подьяческий мост', 'Большая Подьяческая улица']"
307111,1609405542,246.60208664497662,False,Большая Подьяческая улица
307111,813801935,58.330020021748545,True,набережная канала Грибоедова
307139,2277164879,5.553236787832907,False,Гражданская улица
307139,21726083,24.00199214701567,True,Вознесенский проспект
307155,1587451416,114.12733980857425,True,переулок Гривцова
307155,3208846461,13.009668980379065,False,набережная канала Грибоедова
307225,21991532,19.730629382746443,False,Бронницкая улица
307225,21991492,126.36024120746882,False,Бронницкая улица
307225,21991637,78.57617470585613,True,Клинский проспект
307226,802551558,19.499542717859853,False,Батайский переулок
307226,307225,84.65143971669136,True,Клинский проспект
307226,21991439,127.15155507760869,True,Батайский переулок
307236,21991435,288.2360657918854,True,улица Егорова
307236,4001520267,33.083769349905424,True,
307268,2257999933,337.1402053287276,True,Лиговский проспект
307268,219818,24.324612743998607,False,Курская улица
307268,22299212,253.82021852778243,False,Курская улица
307272,429224060,107.00276480916355,True,Лиговский проспект
307279,1562026713,291.62949164025474,True,Лиговский проспект
307279,6733400090,24.03686079363137,True,Транспортный переулок
307279,438081397,246.5469601980106,False,Транспортный переулок
307284,307279,213.74895324345758,True,Лиговский проспект
307284,438081398,247.43013186667585,True,Роменская улица
307286,223680,147.53566067277592,True,"['Ново-Кирпичный мост', 'набережная Обводного канала']"
307286,8087613,68.56038724597397,True,"['Днепропетровская улица', 'Каретный мост']"
307292,10164915817,91.62659185928112,True,Волоколамский переулок
307292,1832097212,280.4798830409594,True,улица Константина Заслонова
307293,9712335442,79.69745464136547,True,Социалистическая улица
307299,443225475,125.36063087414074,False,Малая Московская улица
307299,1832588390,131.97740020622925,True,улица Достоевского
307305,307293,175.19760405395695,True,Социалистическая улица
307305,12953608295,287.2930969703267,True,улица Правды
307316,768851407,11.682881769149528,True,Большая Московская улица
307319,6239279466,153.7970849582911,True,Стремянная улица
307319,9951051514,257.1258574579041,True,Дмитровский переулок
307372,260395820,188.28196283141662,True,Итальянская улица
307372,4499299605,241.4349531001812,True,"['набережная канала Грибоедова', 'Инженерная улица']"
307400,1589052159,121.90588738792623,False,Шведский переулок
307400,4572200631,77.77098678225283,False,Малая Конюшенная улица
307400,4572200632,59.59922754417565,False,Малая Конюшенная улица
307408,60070836,432.57920507361007,True,Моховая улица
307408,9708925354,172.42745094422702,False,улица Пестеля
307408,1591732109,116.01784540639582,False,улица Пестеля
307412,237691,48.404081290777185,False,площадь Белинского
307412,307413,128.46464326109094,False,Инженерная улица
307412,4132511993,43.166771841375336,False,площадь Белинского
307412,332671,193.3176295873802,True,Караванная улица
307413,21738863,14.834108949732588,False,Инженерная улица
307413,307412,128.46464326109094,False,Инженерная улица
307422,7652903812,128.29467728472721,True,Литейный проспект
307422,2598633991,100.2145452091994,False,улица Пестеля
307422,9708925354,12.449816584042576,False,улица Пестеля
307434,7389619316,21.202992797390582,True,Среднеохтинский проспект
307434,395013105,18.95302518664552,True,Большеохтинский проспект
307453,395013108,407.1846003094317,True,Новочеркасский проспект
307453,395013174,14.730538879599205,False,улица Помяловского
307535,21725162,10.258579730755741,False,Таврическая улица
307535,5000372570,247.074071068229,True,Кирочная улица
307535,5000378270,358.08546865142876,False,Таврическая улица
307536,5037259579,163.86661489478996,False,улица Радищева
307536,21729824,79.98647353866001,False,улица Радищева
307536,12848464722,163.71473225436603,False,улица Рылеева
307544,12848464716,287.47672122361763,False,улица Рылеева
307544,21991215,80.60447725353605,True,улица Маяковского
307548,2598634003,110.51829792529264,True,Преображенская площадь
