id,lat,lon
10594195,59.8720662,30.4645444
10608386,59.919072,30.3374989
10608753,59.9015718,30.3398972
10608755,59.9005462,30.3390697
10981950,59.8163296,30.3837415
10982223,59.7299171,30.3947686
10982314,59.7261437,30.3981154
10982319,59.7253485,30.3994066
10982323,59.7239071,30.3996637
10982331,59.7267756,30.401281
10982333,59.7254352,30.4053973
10982334,59.7241383,30.4092808
10982335,59.7229583,30.4128692
10982340,59.7218815,30.4161491
10982415,59.7178016,30.4012673
10982416,59.7188648,30.4026069
10982425,59.7217474,30.4062477
10982427,59.7229383,30.4077668
10982435,59.7216304,30.4183734
10982478,59.7196771,30.4243402
10982479,59.7205185,30.4254378
10982480,59.7213299,30.4297251
10982481,59.723337,30.4287246
10982486,59.7266461,30.4175334
10982488,59.721738,30.4318979
11003789,59.9464562,30.3591641
15484838,59.9264889,30.4212612
15485009,59.9251251,30.4231161
15485326,59.9272658,30.4002684
15499560,59.8763301,30.447142
15499807,59.8597329,30.4790216
15499972,59.8152076,30.3702887
15502597,59.8249649,30.4328442
15502663,59.830638,30.4425601
15759398,59.9449543,30.5055534
15759416,59.9450525,30.5017728
16819447,59.7307709,30.6119931
16820215,59.7036328,30.3718591
16820248,59.7007236,30.3942594
16820255,59.7028836,30.4074909
16820282,59.7036849,30.4193303
16820289,59.7030694,30.4198733
16820293,59.7019305,30.4210556
16820301,59.6942773,30.429835
16820307,59.6961633,30.4337476
16820311,59.6970146,30.4349425
16820320,59.6958492,30.437156
16820329,59.6955008,30.4378743
16820342,59.6955964,30.4381876
16820354,59.6979523,30.4410636
16820373,59.6987212,30.4416037
16820458,59.7075017,30.529174
18182761,59.8955928,30.2794508
18182767,59.8967882,30.2855763
18476750,59.9217401,30.2542676
18476901,59.7205688,30.4098461
18476902,59.7181004,30.4173286
18476903,59.7153024,30.4032132
18476904,59.7142709,30.406456
18476907,59.7076583,30.4157088
18476928,59.7228289,30.4280605
18476931,59.7226564,30.4282254
18476933,59.7225578,30.4291031
18476946,59.7299097,30.3943511
18476947,59.7292663,30.3941558
18476977,59.7109487,30.4700989
18700849,59.8541277,30.3603632
18701650,59.9442667,30.4048704
21596602,59.9093313,30.2925711
21596627,59.9093687,30.288724
21596673,59.9107452,30.2516886
21596777,59.9317073,30.3713485
21596792,59.9325415,30.3722612
21596894,59.9367654,30.3768974
21596896,59.9342547,30.3741326
21596920,59.9357747,30.3828648
21597048,59.951627,30.3992224
21626267,59.9470649,30.4141326
21626366,59.9444394,30.395517
21626477,59.9403015,30.3975023
21626507,59.9374859,30.3939092
21626569,59.9233836,30.4117118
21626570,59.9247834,30.4159811
21626619,59.9224987,30.4190405
21626694,59.9256307,30.4354895
21626705,59.9279527,30.4374792
21628247,59.8530807,30.2369569
21628646,59.8503688,30.194157
21628647,59.8502932,30.1972761
21628656,59.8465153,30.2109673
21628666,59.846859,30.1938319
21628669,59.8467959,30.1969923
21628672,59.846789,30.1973363
21628690,59.8470396,30.1847817
21628696,59.8507348,30.1758469
21629132,59.845117,30.1302936
21633996,59.9455615,30.213946
21634003,59.9462612,30.215232
21634021,59.9408359,30.2169299
21634023,59.9403673,30.2218429
21634025,59.9408952,30.2172427
21683274,59.9001267,30.3406507
21684498,59.9304964,30.3801656
21725162,59.9433237,30.3779804
21725270,59.9459613,30.340903
21725271,59.9449281,30.3410454
21725274,59.9452547,30.3382793
21725403,59.9467799,30.3318769
21725507,59.9419191,30.3232871
21726083,59.9266213,30.3081288
21727830,59.9274172,30.3149663
21728175,59.9192396,30.3052254
21728224,59.9191659,30.3052818
21728261,59.9168911,30.2954595
21728387,59.9144702,30.3055629
21728388,59.9145024,30.3099456
21728390,59.9137303,30.305541
21728392,59.9145564,30.3140349
21728393,59.9138406,30.3140054
21728395,59.9123827,30.3140453
21729304,59.9289116,30.3570269
21729391,59.9349405,30.3733562
21729393,59.934369,30.3725867
21729395,59.934532,30.3733283
21729396,59.935446,30.3740283
21729432,59.9372708,30.3627529
21729576,59.9379965,30.3631245
21729824,59.941637,30.3636278
21729831,59.9409021,30.3635834
21729835,59.9401725,30.3635387
21729843,59.9394334,30.3634932
21729943,59.9417221,30.3580672
21729953,59.9432393,30.3534316
21738863,59.9379749,30.3392767
21742660,59.9283512,30.3435958
21742661,59.9306906,30.3449113
21742664,59.9308467,30.3525152
21742666,59.936666,30.3313534
21742754,59.9322755,30.3357963
21743196,59.9345094,30.2683165
21743238,59.9300836,30.2411201
21743242,59.9302889,30.2426921
21743248,59.9304918,30.2442538
21743264,59.930711,30.2459417
21743392,59.9298828,30.2394814
21743394,59.9315168,30.2386715
21775282,59.8409832,30.1437559
21775288,59.8409107,30.1511199
21991208,59.9450695,30.3614072
21991215,59.9432101,30.3554701
21991229,59.9396479,30.3502727
21991230,59.9418495,30.3504011
21991231,59.9417802,30.3553866
21991234,59.9271914,30.3313005
21991239,59.9218249,30.3168948
21991321,59.9164098,30.2888536
21991322,59.9165427,30.2938308
21991327,59.9157227,30.287891
21991342,59.9113753,30.2924703
21991343,59.9127316,30.2923945
21991354,59.9121508,30.2924273
21991357,59.9120564,30.2894986
21991358,59.9120096,30.2880408
21991371,59.912262,30.3055222
21991376,59.9137485,30.3073361
21991377,59.9130528,30.3099013
21991378,59.9137876,30.3099204
21991379,59.9123214,30.3098414
21991380,59.9115934,30.3097881
21991392,59.9152343,30.3099685
21991393,59.9152961,30.3140541
21991435,59.911652,30.3140941
21991439,59.9131384,30.3210112
21991440,59.9118325,30.3210796
21991468,59.9127774,30.3242653
21991492,59.9136502,30.3233526
21991532,59.914814,30.3221364
21991543,59.9151631,30.3233561
21991548,59.915531,30.324646
21991626,59.9138877,30.3280455
21991637,59.9150097,30.3235213
21991638,59.9157305,30.3260485
21991697,59.9159927,30.2813938
21991703,59.9174343,30.2783968
21991704,59.9181795,30.2772005
21991744,59.9218619,30.2832082
21991746,59.9211672,30.2843704
21991748,59.9199023,30.291165
21991758,59.918658,30.2856331
21991775,59.9188905,30.2760117
21992190,59.9258243,30.2805337
21992660,59.9017071,30.2727358
21992674,59.9004284,30.2738186
21992675,59.9005964,30.2745264
21992677,59.8994158,30.2750853
21992678,59.8993539,30.2748765
21992680,59.9009797,30.2800003
21992700,59.8983238,30.2824297
21992701,59.8980949,30.2815503
21992702,59.8972025,30.281948
21992703,59.89766,30.2851124
21992704,59.8988725,30.2845071
21992705,59.8990772,30.2817602
21992706,59.8962369,30.2823826
21992740,59.9016155,30.2948268
21992747,59.9010733,30.2927859
21992830,59.8996952,30.2813431
21992860,59.8970774,30.2874555
21993189,59.8791247,30.2798212
21993192,59.8801088,30.2791646
21993296,59.8789401,30.2842618
21993300,59.8800474,30.2905785
21993402,59.8774489,30.2585216
21993464,59.872105,30.2562361
21993555,59.8670559,30.2450375
21993817,59.8629432,30.238786
21993819,59.861865,30.2371567
21993852,59.8620654,30.2362977
21993891,59.85224,30.1993883
21993892,59.8502747,30.1976233
21993893,59.8523097,30.199047
21993925,59.8362371,30.2095689
21994101,59.827261,30.2045568
21994301,59.8438292,30.2644165
21994308,59.8436023,30.2654658
21994362,59.8460537,30.2797529
21994365,59.8512988,30.2803722
21994414,59.859401,30.2578526
21994471,59.8614369,30.2870673
21994690,59.8524601,30.3028858
21994913,59.8538892,30.3042059
21994916,59.8538713,30.3055321
21996078,59.8494314,30.3359658
22264782,59.8575226,30.32424
22264792,59.8582344,30.3242009
22264838,59.8551101,30.3296427
22264844,59.8583559,30.3294615
22264879,59.8582195,30.3354722
22264904,59.8581358,30.3294737
22266391,59.8643245,30.325797
22266524,59.8610041,30.3195898
22266576,59.8644006,30.3351263
22279356,59.8895329,30.3023008
22283786,59.8888106,30.3248638
22283853,59.8888796,30.3296177
22284268,59.8837732,30.325148
22285301,59.8961298,30.3001883
22286374,59.8884749,30.2935936
22297224,59.9125228,30.3455465
22297294,59.9103166,30.3439362
22299212,59.9112461,30.353099
22299250,59.9090328,30.3516951
22300777,59.9179212,30.3624851
22302435,59.917097,30.3484726
22302545,59.9162129,30.3471528
22303284,59.9166421,30.3512716
22309442,59.9376163,30.3270083
22311226,59.9381261,30.343834
22312050,59.9410379,30.3553412
22319248,59.9237773,30.3758976
22324488,59.904333,30.3995195
22324946,59.9035671,30.3965145
22331317,59.8610934,30.4512696
22333488,59.8582967,30.4494237
22333571,59.8610111,30.4460987
22334919,59.8512429,30.4610311
22343218,59.6859633,30.4305515
22343381,59.6835234,30.4314173
22343411,59.6833027,30.4338458
22343584,59.6824169,30.4367774
22343627,59.6826242,30.439461
22346590,59.7242355,30.4038748
22346692,59.7206824,30.4146164
22346731,59.7194948,30.4131076
22346816,59.7180238,30.4112352
22347191,59.7217589,30.4113439
22347621,59.719277,30.4188806
22348221,59.7239548,30.4284115
22348320,59.728299,30.4196152
22348383,59.727065,30.424354
22349281,59.7166363,30.404888
22349333,59.7176325,30.4061397
22349350,59.7164861,30.4092728
22349354,59.7155904,30.4081357
22350017,59.7164596,30.3995675
22351705,59.7202159,30.3987729
22351716,59.7215545,30.4004716
22352119,59.7255975,30.3997474
22352581,59.7230294,30.4023529
22353342,59.7304623,30.4059617
22353402,59.7336352,30.4099932
22353830,59.73016,30.4219923
22354032,59.7339804,30.4104501
25499529,59.9200673,30.3534487
25719207,59.9478734,30.4360496
25719211,59.9481362,30.4413843
25719214,59.9531128,30.4411019
25719293,59.9484239,30.4478859
25720136,59.928249,30.4857382
25720182,59.9218122,30.4786025
25720183,59.9218699,30.4788466
25720191,59.9200501,30.4693414
25720192,59.9203933,30.4706625
25720193,59.9205361,30.470698
25720195,59.9207306,30.4687032
25720197,59.9204304,30.4675293
25720198,59.9202561,30.468509
25720202,59.9181484,30.4631088
25720206,59.9213024,30.4639893
25720209,59.9233361,30.4557049
25720221,59.9196595,30.4704
25720234,59.9203151,30.4722605
25720249,59.9253518,30.4474752
25720604,59.9176938,30.4519859
